id,form_id,survey_id,lat,lng,address,state,country,continent
156561067112-4,347,1565610671-4,20.58726,85.82384,NULL,NULL,NULL,NULL
156561067212-4,347,1565610672-4,20.58643,85.82663,NULL,NULL,NULL,NULL
156561067312-4,347,1565610673-4,20.474756,85.722306,NULL,NULL,NULL,NULL
156561067412-4,347,1565610674-4,20.475447,85.7225,NULL,NULL,NULL,NULL
156561067512-4,347,1565610675-4,20.477409,85.723545,NULL,NULL,NULL,NULL
156561067612-4,347,1565610676-4,20.478878,85.723308,NULL,NULL,NULL,NULL
156561067712-4,347,1565610677-4,20.475682,85.723473,NULL,NULL,NULL,NULL
156561067812-4,347,1565610678-4,20.477496,85.722269,NULL,NULL,NULL,NULL
156561067912-4,347,1565610679-4,20.477462,85.722966,NULL,NULL,NULL,NULL
156561068012-4,347,1565610680-4,20.47636,85.722465,NULL,NULL,NULL,NULL
156561068112-4,347,1565610681-4,20.478493,85.723253,NULL,NULL,NULL,NULL
156561068212-4,347,1565610682-4,20.476467,85.723821,NULL,NULL,NULL,NULL
156561068312-4,347,1565610683-4,20.481705,85.725065,NULL,NULL,NULL,NULL
156561068412-4,347,1565610684-4,20.481786,85.723932,NULL,NULL,NULL,NULL
156561068512-4,347,1565610685-4,20.482303,85.724523,NULL,NULL,NULL,NULL
156561068612-4,347,1565610686-4,20.482547,85.725456,NULL,NULL,NULL,NULL
156561068712-4,347,1565610687-4,20.481705,85.725078,NULL,NULL,NULL,NULL
156561068812-4,347,1565610688-4,20.481271,85.725738,NULL,NULL,NULL,NULL
156561068912-4,347,1565610689-4,20.480429,86.725361,NULL,NULL,NULL,NULL
156561069012-4,347,1565610690-4,20.481118,85.724724,NULL,NULL,NULL,NULL
156561069112-4,347,1565610691-4,20.481607,85.7241,NULL,NULL,NULL,NULL
156561069212-4,347,1565610692-4,20.482233,85.723952,NULL,NULL,NULL,NULL
156561069312-4,347,1565610693-4,20.522675,85.770958,NULL,NULL,NULL,NULL
156561069412-4,347,1565610694-4,20.522249,85.769997,NULL,NULL,NULL,NULL
156561069512-4,347,1565610695-4,20.521895,85.770363,NULL,NULL,NULL,NULL
156561069612-4,347,1565610696-4,20.521973,85.770822,NULL,NULL,NULL,NULL
156561069712-4,347,1565610697-4,20.522039,85.771529,NULL,NULL,NULL,NULL
156561069812-4,347,1565610698-4,20.521825,85.771982,NULL,NULL,NULL,NULL
156561069912-4,347,1565610699-4,20.521675,85.772401,NULL,NULL,NULL,NULL
156561070012-4,347,1565610700-4,20.521741,85.772908,NULL,NULL,NULL,NULL
156561070112-4,347,1565610701-4,20.521858,85.77345,NULL,NULL,NULL,NULL
156561070212-4,347,1565610702-4,20.522182,85.772854,NULL,NULL,NULL,NULL
156561070312-4,347,1565610703-4,20.46939,85.58732,NULL,NULL,NULL,NULL
156561070412-4,347,1565610704-4,20.47006,85.5862,NULL,NULL,NULL,NULL
156561070512-4,347,1565610705-4,20.46859,85.5818,NULL,NULL,NULL,NULL
156561070612-4,347,1565610706-4,20.46647,85.58119,NULL,NULL,NULL,NULL
156561070712-4,347,1565610707-4,20.46512,85.58088,NULL,NULL,NULL,NULL
156561070812-4,347,1565610708-4,20.46446,85.58279,NULL,NULL,NULL,NULL
156561070912-4,347,1565610709-4,20.46742,85.58091,NULL,NULL,NULL,NULL
156561071012-4,347,1565610710-4,20.46044,85.58134,NULL,NULL,NULL,NULL
156561071112-4,347,1565610711-4,20.46259,85.58395,NULL,NULL,NULL,NULL
156561071212-4,347,1565610712-4,20.46021,85.58206,NULL,NULL,NULL,NULL
156561071312-4,347,1565610713-4,20.42207,85.53619,NULL,NULL,NULL,NULL
156561071412-4,347,1565610714-4,20.42117,85.53608,NULL,NULL,NULL,NULL
156561071512-4,347,1565610715-4,20.42211,85.53612,NULL,NULL,NULL,NULL
156561071612-4,347,1565610716-4,20.42251,85.53661,NULL,NULL,NULL,NULL
156561071712-4,347,1565610717-4,20.42147,85.53631,NULL,NULL,NULL,NULL
156561071812-4,347,1565610718-4,20.42054,85.53521,NULL,NULL,NULL,NULL
156561071912-4,347,1565610719-4,20.42089,85.53541,NULL,NULL,NULL,NULL
156561072012-4,347,1565610720-4,20.42037,85.53765,NULL,NULL,NULL,NULL
156561072112-4,347,1565610721-4,20.42098,85.53569,NULL,NULL,NULL,NULL
156561072212-4,347,1565610722-4,20.42068,85.53591,NULL,NULL,NULL,NULL
156561072312-4,347,1565610723-4,20.33706,85.48299,NULL,NULL,NULL,NULL
156561072412-4,347,1565610724-4,20.33685,85.484495,NULL,NULL,NULL,NULL
156561072512-4,347,1565610725-4,20.336517,85.485533,NULL,NULL,NULL,NULL
156561072612-4,347,1565610726-4,20.366448,85.485422,NULL,NULL,NULL,NULL
156561072712-4,347,1565610727-4,20.336575,85.481773,NULL,NULL,NULL,NULL
156561072812-4,347,1565610728-4,20.346017,85.482153,NULL,NULL,NULL,NULL
156561072912-4,347,1565610729-4,20.342849,85.484022,NULL,NULL,NULL,NULL
156561073012-4,347,1565610730-4,20.346679,85.482156,NULL,NULL,NULL,NULL
156561073112-4,347,1565610731-4,20.347194,85.483263,NULL,NULL,NULL,NULL
156561073212-4,347,1565610732-4,20.345136,85.483847,NULL,NULL,NULL,NULL
156561073312-4,347,1565610733-4,20.32934,85.460774,NULL,NULL,NULL,NULL
156561073412-4,347,1565610734-4,20.328762,85.460632,NULL,NULL,NULL,NULL
156561073512-4,347,1565610735-4,20.329794,85.460554,NULL,NULL,NULL,NULL
156561073612-4,347,1565610736-4,20.329432,85.460705,NULL,NULL,NULL,NULL
156561073712-4,347,1565610737-4,20.329843,85.460708,NULL,NULL,NULL,NULL
156561073812-4,347,1565610738-4,20.324108,85.462701,NULL,NULL,NULL,NULL
156561073912-4,347,1565610739-4,20.32543,85.463055,NULL,NULL,NULL,NULL
156561074012-4,347,1565610740-4,20.324667,85.463348,NULL,NULL,NULL,NULL
